Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",64.300000,-70.500000,0.000000,top
"C2","22u","C_0805_2012Metric",69.000000,-75.700000,90.000000,top
"C3","10u","C_0603_1608Metric",53.500000,-59.500000,0.000000,top
"C4","100n","C_0402_1005Metric",50.000000,-64.000000,90.000000,top
"C5","100n","C_0402_1005Metric",58.770000,-73.250000,180.000000,top
"C6","100n","C_0402_1005Metric",62.000000,-64.730000,-90.000000,top
"C7","100n","C_0402_1005Metric",53.520000,-61.250000,0.000000,top
"C8","10n","C_0402_1005Metric",49.750000,-68.250000,90.000000,top
"C9","1u","C_0402_1005Metric",49.270000,-72.075000,180.000000,top
"C10","1u","C_0402_1005Metric",49.270000,-73.575000,180.000000,top
"C11","100n","C_0402_1005Metric",54.000000,-74.000000,0.000000,top
"C12","10p","C_0402_1005Metric",48.250000,-65.270000,90.000000,top
"C13","10p","C_0402_1005Metric",48.250000,-67.520000,90.000000,top
"D1","RED","LED_0603_1608Metric",72.500000,-75.787500,-90.000000,top
"FB1","120R","L_0603_1608Metric",51.250000,-72.537500,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",70.800000,-66.025000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",66.500000,-55.000000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",52.250000,-55.000000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",48.920000,-82.750000,90.000000,top
"R1","1k5","R_0402_1005Metric",72.990000,-72.000000,0.000000,top
"R2","10k","R_0402_1005Metric",42.500000,-62.750000,90.000000,top
"R3","1k5","R_0402_1005Metric",64.750000,-65.490000,-90.000000,top
"R4","1k5","R_0402_1005Metric",53.490000,-77.750000,180.000000,top
"R5","1k5","R_0402_1005Metric",55.990000,-77.750000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",38.830000,-63.750000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",56.000000,-67.250000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",64.200000,-76.150000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",45.650000,-66.400000,-90.000000,top
